ID_juge;Product;Hedonic_category;FreeJAR_description;Liking;Too_much;Not_enough;JAR
33002;CE;I like it a lot;I like the taste;8;0;0;0
33002;M;I like it a bit;I like this product but the taste is too strong.;7.206575879;1;0;0
33002;B;I like it a bit;I like it but the taste is a bit strong.;6.534021533;0;0;0
33002;R;I like it a bit;I like it but the texture is a little too soft.;7.190606657;1;0;0
33002;C;I like it a lot;I like the taste but the texture is a bit strange.;7;0;0;0
33002;E;I like it a lot;I like this product very much because the texture is pleasant and it is not strong.;8;0;0;1
33002;CR;I like it a bit;I like this product but the taste is too strong.;6;1;0;0
33002;S;I like it a lot;I like this product very much because the texture is pleasant and it is not strong.;9;0;0;1
33003;M;I like it a bit;I like this product because it has a soft and melting texture. The putting in the mouth is pleasant and despite its light blue taste I like it. ;6;0;0;0
33003;R;I like it a bit;I like this product because it is very soft, it melts in the mouth. It has a sweet and fruity taste.;7;0;0;0
33003;CE;I don't like it;I don't like this product too much because it has a Gruyère aftertaste. I like the putting in the mouth but I don't like the aftertaste.;5;0;0;0
33003;E;I don't like it;I don't like this product because it tastes like emmental cheese.;3;0;0;0
33003;B;I like it a lot;I really like this product because it looks like comte. I like it very much, it has a good fruity taste, quite firm. It would be very good with bread;8;0;0;1
33003;S;I like it a lot;It is very soft, almost creamy. It still has a good taste, sweet but fragrant. I will eat it without bread.;8;0;0;1
33003;C;I like it a bit;I like this product because it is quite strong in the mouth, it has a firm texture and yet it melts in the mouth.;6;0;0;1
33003;CR;I like it a bit;I like this product because it is slightly stronger than C, maybe it has more cow;6;0;0;0
33004;R;I like it a bit;I like this product a bit because even though it doesn't taste too much, it has a good smell and texture.;5;1;0;0
33004;E;I like it a bit;I like this cheese a bit because it's classic.;6;0;0;0
33004;M;I like it a lot;I really like this cheese because it has a very strong taste and an interesting texture.;8;0;0;0
33004;S;I don't like it;I don't like this product because it is not tasty enough and has a plastic texture.;3;0;1;0
33004;CE;I like it a bit;I like this cheese a bit because it smells and tastes good.;6;0;0;1
33004;CR;I like it a lot;I really like this cheese because it is just right proportionate: taste, texture and smell.;8;0;0;1
33004;B;I like it a bit;I like this cheese a bit because it has a good firm texture.;6;0;0;1
33004;C;I like it a lot;I really like this cheese for its strong taste.;9;0;0;0
33005;E;I like it a lot;perfect taste;9;0;0;1
33005;S;I don't like it;no taste;1;0;0;0
33005;R;I like it a bit;taste too strong;5;1;0;0
33005;CR;I like it a bit;taste too strong;5;1;0;0
33005;M;I like it a lot;perfect taste;9;0;0;1
33005;C;I like it a bit;taste too strong;5;1;0;0
33005;CE;I don't like it;no taste;1;0;0;0
33005;B;I like it a bit;taste too strong;5;1;0;0
33006;S;I like it a lot;It is melting;9;0;0;0
33006;CR;I don't like it;I find it too strong in terms of taste;1;1;0;0
33006;E;I like it a bit;It is too bland. Yet the texture is pleasant in the mouth;4;1;0;0
33006;C;I like it a bit;I find that the taste is too pronounced. The more you chew it, the stronger it becomes.;4;1;0;0
33006;R;I don't like it;This cheese has a buttery taste and texture.;1;0;0;0
33006;B;I like it a lot;We feel all the flavors in the mouth, the texture is pleasant. It looks like a cheese from the mountains;9;0;0;1
33006;M;I don't like it;I find that it has a particular aftertaste.;1;0;0;0
33006;CE;I like it a lot;The more it is chewed, the more it melts in the mouth even if it does not leave a particular taste in the mouth.;7;0;0;0
33007;CR;I like it a bit;I like this product a little bit because it has a strong taste but its texture is a little cardboard.;5;0;0;0
33007;C;I like it a bit;I like this product a little bit because it has a strong but pasty taste in the mouth.;5;0;0;0
33007;S;I don't like it;I don't like this product because it's too soft and doesn't have much taste.;2;1;1;0
33007;B;I like it a bit;I like this product a little bit because it is pleasant to chew but has an unpleasant taste.;4;0;0;1
33007;E;I don't like it;I don't like this product because it has a plastic texture although its taste is quite pronounced.;3;0;0;1
33007;CE;I don't like it;I don't like this product because it doesn't have a particular taste.;2;0;0;0
33007;R;I like it a bit;I like a little this product because of its pleasant texture.;4;0;0;1
33007;M;I like it a lot;I really like this product because it has a really strong taste and the texture of a real quality cheese.;8;0;0;0
33008;C;I like it a lot;I really like this cheese because it has a good taste and a pleasant texture, it's just a little strong for my taste.;8;0;0;2
33008;B;I like it a lot;I really like this cheese for its taste as well as its texture.;9;0;0;0
33008;CR;I like it a bit;I like this cheese, but I have a preference for cow's cheese.;6;0;0;0
33008;CE;I like it a bit;I like this product as much for its texture as for its taste, I don't like it very much because the taste is not strong enough.;7;0;1;0
33008;S;I like it a bit;I like this product a bit because it doesn't have an unpleasant texture but it doesn't have any taste.;3;0;0;0
33008;M;I like it a lot;I really like this cheese because it tastes good and not too strong. Its texture, too soft is the reason why it doesn't have 9;8;1;0;0
33008;E;I like it a bit;I like this product a bit because its taste is pleasant but not very pronounced.;6;0;1;0
33008;R;I don't like it;I don't like the texture of this product, it is too soft and although I like cheeses that taste good, this one is unpleasant to me.;2;1;0;0
33009;B;I like it a bit;I find the taste too common to love much.;6;1;0;0
33009;CE;I like it a lot;I love the taste;7;0;0;0
33009;C;I like it a bit;I like it a little because the taste is good but too strong.;5;1;0;1
33009;M;I like it a lot;I love the taste and smell;9;0;0;0
33009;CR;I like it a bit;I find the taste too common to love much.;6;1;0;0
33009;R;I don't like it;I don't like it because the cheese is creamy and therefore the texture is unctuous, which I don't like.;4;0;0;0
33009;S;I like it a bit;I like it a little because the taste is good but the texture is too smooth.;6;1;0;0
33009;E;I like it a bit;I like the smell but the cheese is too rough.;5;1;0;0
33011;CE;I like it a lot;He's good, but he deserves to be firmer.;7;0;1;0
33011;M;I like it a lot;Nothing to say very good, it's morbier.;9;0;0;0
33011;B;I like it a lot;Nothing to say very good, I like the strong taste.;9;0;0;0
33011;R;I like it a bit;It doesn't have enough taste and I don't like the texture.;3;0;1;0
33011;C;I like it a lot;Good taste, strong and good texture;9;0;0;2
33011;E;I like it a bit;He doesn't have enough taste;6;0;1;0
33011;CR;I like it a lot;Good texture, good taste in the mouth;7;0;0;2
33011;S;I like it a bit;I don't like the texture of this product, it looks like butter.;4;0;0;0
33012;M;I like it a bit;I like it a little because I like the taste but the material bothers me because it's a little rubbery.;7.918930613;0;0;0
33012;R;I don't like it;I don't like this cheese because it's too soft but not runny.;6;1;0;0
33012;CE;I like it a lot;I really like this product because the texture is like a hard cheese at the beginning, then floury in the mouth and in terms of taste it's very soft.;6.54195342;0;0;0
33012;E;I like it a bit;I like it a bit because it's nice to chew but I don't like the taste too much.;6.291870077;1;0;0
33012;B;I like it a lot;I like this product very much because it melts in the mouth and the taste is sweet.;7.262688616;0;0;0
33012;S;I don't like it;I don't like this cheese because it's too plastic for my taste.;3;1;0;0
33012;C;I don't like it;I don't like this product because it loosens a little in the mouth and the taste is too acidic.;3;1;0;0
